Country,latLong,lat,lon,Year_2017,Year_2016,Year_2015,Year_2014,Year_2013,Year_2012,Year_2011,Year_2010,Year_2009,Year_2008,Year_2007,Year_2006,Year_2005,Year_2004,Year_2003,Year_2002,Year_2001,Year_2000
Afghanistan,"34.28, 69.11",33.93911,67.70995,161778,139087,86895,61362,39263,54840,77549,69397,64880,81574,92202,86129,116444,242022,360940,415356,50850,94475
Algeria,"36.42, 3.08",28.033886,1.659626,0,0,0,0,8,55,1,1,0,3,288,117,299,163,427,307,435,541
Angola,"-8.5, 13.15",-11.202692,17.87389,3874892,3794253,2769305,2298979,1999868,1496834,1632282,1682870,1573422,1377992,1533485,1082398,889572,,,,,
Argentina,"-36.3, -60",-38.416097,-63.616672,0,0,0,0,0,0,0,14,86,130,387,212,252,115,122,125,215,440
Armenia,"40.1, 44.31",40.069099,45.038189,0,0,0,0,0,0,0,0,0,0,0,0,7,47,29,52,79,141
Azerbaijan,"40.29, 49.56",40.143105,47.576927,0,0,0,0,0,3,4,50,78,72,108,143,242,386,482,506,1058,1526
Bangladesh,"23.43, 90.26",23.684994,90.356331,4893,4787,6608,10216,3864,9901,51773,55873,63873,84690,59866,32857,48121,58894,54654,62269,54216,55599
Belize,"17.18, -88.3",17.189877,-88.49765,7,4,9,19,20,33,72,150,256,540,845,844,1549,1066,1084,1134,1162,1486
Benin,"6.23, 2.42",9.30769,2.315834,1573163,1324576,1268347,1044235,1078834,705839,422968,,889597,,,,,,,,,
Bhutan,"27.31, 89.45",27.514162,90.433601,24,15,34,19,15,,194,436,972,329,793,1868,1825,2670,3806,6511,5982,5935
Bolivia (Plurinational state of),"-16.2, -68.1",-16.290154,-63.588653,4572,5542,6874,7401,7301,7415,7143,13769,9743,9748,14610,19725,21442,14910,20343,14276,15765,31469
Botswana,"-24.45, 25.57",-22.328474,24.684866,1900,716,326,1346,456,193,432,1046,1024,927,390,2548,670,198,591,1640,3720,10510
Brazil,"-15.47, -47.55",-14.235004,-51.92528,189503,124178,138229,139272,168862,242758,267146,334483,309316,315746,458652,549469,606067,465004,408886,348259,388303,613241
Burkina Faso,"12.15, -1.3",12.238333,-1.561593,10225459,9779154,7015446,5428655,3769051,3858046,428113,804539,182527,36514,44246,44265,21335,18256,,,,
Burundi,"-3.16, 29.18",-3.373056,29.918886,7670177,8274062,5159706,4585273,4141387,2151076,1571874,1763447,1185622,876741,1101644,791731,327464,363395,353459,327138,312015,308095
Cape Verde,"15.02, -23.34",16.002082,-24.013197,423,48,7,26,22,1,7,47,65,35,18,80,68,45,68,76,107,144
Cambodia,"11.33, 104.55",12.565679,104.990963,36932,23492,33930,25152,21309,40476,57423,49356,64595,42124,42518,78696,49436,59745,71265,46902,53601,62442
Cameroon,"3.5, 11.35",7.369722,12.354722,1191257,1675264,1162784,,26651,,15212,,,,,,,,,,,
Central African Republic,"4.23, 18.35",6.611111,20.939444,383309,1032764,598833,295088,116300,46759,,,,,,,45973,46869,37896,43093,39164,33411
Chad,"12.1, 14.59",15.4542,18.7322,1962372,1294768,787046,914032,754565,7710,181126,200448,,47757,48288,45155,31668,1360,45195,43933,38287,40078
China,"39.55, 116.2",35.86166,104.195397,0,3,39,56,86,244,3367,4990,9287,16650,29304,35383,21936,27197,28491,25520,21237,8025
Colombia,"4.34, -74",4.570868,-74.297333,52805,82609,47616,40768,51696,60179,60105,117589,79347,80559,128462,120096,121629,142241,180956,204916,231233,144432
Comoros,"-11.4, 43.16",-11.6455,43.3333,2274,1066,1300,2203,53156,49840,24856,36538,5982,,,20559,6086,12874,867398,1104310,879032,801784
Congo,"-4.09, 15.12",-0.228021,15.827659,127939,171847,51529,66323,43232,120319,37744,,92855,117291,103213,,67,293,1633,7677,11981,15751
Costa Rica,"9.55, -84.02",9.748917,-83.753428,12,4,0,0,0,6,10,110,262,966,1223,2903,3541,1289,718,1021,1363,1879
C̫te dIvoire,"6.49, -5.17",7.539989,-5.54708,3274683,3471024,3375904,3712831,2506953,1140627,29976,62726,7388,3527,,,67,293,1585,7628,11936,15705
Democratic Peoples Republic of Korea,"40.33, 127.51",40.3399,127.5101,4575,2719,773,10535,14407,21850,16760,13520,14632,16611,4345,12983,11315,27090,16538,16578,143674,90582
Democratic Republic of the Congo,"-4.2, 15.15",-4.038333,21.758664,15176927,15330841,11627473,9968983,6715223,4791598,4561981,2417780,1878705,1618218,740858,2050,2971,2684,2438,1735,1531,897
Djibouti,"11.08, 42.2",11.825138,42.590275,14671,13804,9473,9439,1684,25,,1010,2686,119,210,1796,413,122,5036,,,
Dominican Republic,"18.3, -69.59",18.735693,-70.162651,341,690,631,459,579,952,1616,3414,1643,1840,2711,3525,3837,2355,1529,1296,1038,1233
Ecuador,"-0.15, -78.35",-1.831239,-78.183406,1275,1191,618,242,368,544,1219,1888,4120,4891,8464,9863,17050,28730,52065,86757,108903,104528
Egypt,"30.01, 31.14",26.820553,30.802498,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,"13.4, -89.1",13.7942,-88.8965,0,12,2,6,6,13,9,19,20,33,40,49,67,112,85,117,362,753
Equatorial Guinea,"3.45, 8.5",1.650801,10.267895,15725,147714,15142,20417,13129,15169,22466,53813,14184,9503,6287,,,,,,,
Eritrea,"15.19, 38.55",15.179384,39.782334,31486,24251,19372,30768,21317,21815,34848,35982,11759,8764,15565,6541,9073,4119,10346,6078,9716,
ESwatini,"-26.5225, 31.4659",-26.5225,31.4659,724,350,157,711,962,562,549,268,106,58,84,155,279,574,342,670,1395,
Ethiopia,"9.02, 38.42",9.145,40.489673,1530739,1718504,1867059,2118815,2645454,1692578,1480306,1158197,1036316,458561,451816,447780,538942,578904,463797,427795,392377,
Gabon,"-0.8, 11.6",-0.803689,11.609444,35244,23915,23867,31900,28982,19753,,13936,660,40701,45186,33458,70644,70075,58212,62976,53167,50810
Gambia,"13.44, -15.31",13.443182,-15.310139,69931,153774,240382,166229,240792,300363,261967,116353,50378,39164,,,,,,,,
Georgia,"32.16, -82.9",32.1656,-82.9001,0,0,0,0,0,0,0,0,1,6,24,59,155,257,316,474,438,245
Ghana,"7.94, -1.02",7.946527,-1.023194,4348694,4535167,4319919,3415912,1639451,3755166,1041260,1071637,1104370,1094483,476484,472255,655093,475441,,,,
Guatemala,"15.78, -90.23",15.783471,-90.230759,3743,4853,6836,5685,6214,5346,6817,7384,7080,7198,15382,31093,39571,28955,31127,35540,35824,53311
Guinea,"9.94, -9.69",9.945587,-9.696645,1335323,992146,810979,660207,211257,317200,95574,20936,35841,33405,44518,54227,50452,103069,107925,16561,6238,4800
Guinea-Bissau,"11.45, -15.45",11.803749,-15.180413,89784,150903,142309,93431,54584,50381,71982,50391,11757,11299,14284,15120,14659,,,,,
Guyana,"6.5, -58.12",4.860416,-58.93018,13936,12367,9984,12354,31479,31656,29506,22935,13673,11815,11656,21064,38984,28866,27627,21895,27122,24018
Haiti,"18.4, -72.2",18.971187,-72.285215,19135,21430,17583,17696,20957,25423,34350,84153,49535,36774,29825,32739,21778,10802,,,9837,16897
Honduras,"14.05, -87.14",15.199999,-86.241905,1277,4094,3575,3378,5428,6437,7510,9744,9313,8368,10512,11947,15943,17134,14063,17223,24149,35125
India,"28.37, 77.13",20.593684,78.96288,844558,1087285,1169261,1102205,881730,1067824,1310656,1599986,1563574,1532497,1508927,1785109,1816569,1915363,1869403,1841227,2085484,2031790
Indonesia,"-6.09, 106.49",-0.789275,113.921327,261617,218450,217025,252027,343527,417819,422447,465764,272491,349231,311789,347597,437323,304936,223074,273793,267592,245612
Iran (Islamic Republic),"35.44, 51.3",33.223191,43.679291,57,81,167,358,479,756,1632,1847,4345,8349,15712,15909,18966,13821,23562,15558,19303,19716
Iraq,"33.2, 44.3",32.427908,53.688046,0,0,0,0,0,0,0,0,0,2,3,24,47,155,347,952,1265,1860
Kazakhstan,"51.1, 71.3",48.019573,66.923684,0,0,0,,,,,,,,,,,,,,,
Kenya,"-1.17, 36.48",-0.023559,37.906193,3215116,2783846,1499027,2808931,2335286,1453471,1002805,898531,,839903,,,,28328,39383,20049,,
Kyrgyzstan,"42.54, 74.46",41.20438,74.766098,0,0,0,0,0,0,0,3,4,18,96,317,226,93,468,2743,28,12
Lao Peoples Democratic Republic,"17.58, 102.36",19.8563,102.4955,9333,11223,36056,48071,38131,46202,17532,20800,14674,19347,17458,18382,13615,16183,18894,21420,27076,40106
Liberia,"6.18, -10.47",6.428055,-9.429499,,1191137,931086,864204,1244220,1407455,1915762,922173,839581,606952,492272,761415,44875,,,,,
Madagascar,"-18.55, 47.31",-18.766947,46.869107,800661,475333,744103,377963,385598,359420,224498,202450,215110,93234,48497,5689,6753,7638,6909,5272,8538,6946
Malawi,"-14, 33.48",-13.254308,34.301525,4901344,4827373,3661238,2905310,1280892,1564984,304499,,,,,,,,,,,
Malaysia,"3.09, 101.41",4.210484,101.975766,85,266,242,3147,2921,3662,3954,5194,5955,6071,4048,5294,5569,6154,6338,11019,12780,12705
Mali,"12.34, -7.55",17.570692,-3.996166,1918376,2156282,2295611,2039853,1367218,886482,307035,227482,,,,,,,,,,
Mauritania,"-20.1, 57.3",21.00789,-10.940835,20105,23042,22631,15835,13085,9037,5991,6367,940,302,,1061,,,,,,
Mauritius,"21, -10.94",-20.348404,57.552152,0,,,,,,,,,,,,,,,,,
Mexico,"19.2, -99.1",23.634501,-102.552784,736,551,517,656,495,833,1124,1226,2703,2357,2361,2514,2967,3406,3819,4624,4996,7390
Morocco,"31.79, -7.09",31.791702,-7.09262,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,19,0,3
Mozambique,"-25.58, 32.32",-18.665695,35.529562,8921081,8520376,7718782,7117648,2998874,1813984,1756874,1522577,93874,120259,141663,,,,,,,
Myanmar,"16.45, 96.2",21.9162,95.956,19619,110146,182768,205658,333871,480586,465294,420808,436068,447073,373958,203071,165737,152070,177530,173096,170502,120083
Namibia,"-22.35, 17.04",-22.95764,18.49041,54268,25198,12168,15914,4911,194,1860,556,505,1092,4242,27690,23339,36043,20295,23984,41636,
Nepal,"27.45, 85.2",28.394857,84.124008,623,507,591,832,1974,2092,3414,3894,3335,3888,5621,4969,5050,4895,9506,12750,6396,7981
Nicaragua,"12.06, -86.2",12.865416,-85.207229,10949,6272,2279,1142,1162,1235,925,692,610,762,1356,3114,6642,6897,6717,7695,10482,23878
Niger,"13.27, 2.06",17.607789,8.081666,2638580,4148167,2272000,1953309,2353422,2239858,780876,620058,309675,496858,249027,3956,56043,76030,56460,,,
Nigeria,"9.05, 7.32",9.081999,8.675277,11571958,9234387,6850782,7826954,,,,551187,479845,143079,,,,,,,,
Oman,"23.37, 58.36",21.512583,55.923255,0,0,0,0,0,0,0,7,0,8,4,0,0,0,6,6,2,6
Pakistan,"33.4, 73.1",30.375321,69.345116,350467,318449,202013,275149,281755,290781,334589,240591,167579,104454,128570,124910,127826,126719,125152,107666,125292,82526
Panama,"9, -79.25",8.537981,-80.782127,649,769,546,864,705,844,354,418,778,744,1281,1663,3667,5095,4500,2244,928,1036
Papua New Guinea,"-9.24, 147.08",-6.314993,143.95555,478340,478497,297787,281182,279994,150195,84060,93956,77758,84452,86955,93938,92957,91055,72620,75748,94484,79839
Paraguay,"-25.1, -57.3",-23.442503,-58.443832,0,0,0,0,0,0,1,18,91,348,1341,823,376,694,1392,2778,2710,6853
Peru,"-12, -77",-9.189967,-75.015152,55367,56623,61865,65252,48719,31436,25039,31546,42645,44522,50797,64925,87699,93581,88408,99237,78544,68321
Philippines,"14.4, 121.03",12.879721,121.774017,3950,6680,8266,4903,6514,7133,9552,18560,19316,23655,36235,35405,46342,50850,48441,37005,34787,36596
Republic of Korea,"37.31, 126.58",35.9078,127.7669,436,602,627,557,383,394,505,1267,898,1052,2227,2051,1369,864,1171,1799,2556,4183
Rwanda,"-1.59, 30.04",-1.940278,29.873888,1876123,3380568,2505794,1610812,962618,483470,208858,638669,698745,316242,382686,573686,683769,589315,553150,506028,423493,
Sao Tome and Principe,"0.1, 6.39",0.18636,6.613081,2239,2238,2058,1754,9243,12550,8442,2740,6182,6258,2421,5146,18139,46486,42656,50586,42086,31975
Saudi Arabia,"24.41, 46.42",23.885942,45.079162,177,272,83,30,34,82,69,29,58,61,467,1278,1059,1232,1724,2612,3074,6608
Senegal,"14.34, -17.29",14.497401,-14.452362,395706,349540,492253,268912,366687,280241,274119,330331,165933,241926,118332,48070,33160,22234,26865,14425,12920,44959
Sierra Leone,"8.3, -13.17",8.460555,-11.779889,1651236,1775306,1483376,1374476,1701958,1537322,638859,934028,646808,154459,,4932,4808,2206,3945,3702,2206,
Solomon Islands,"-9.27, 159.57",-9.64571,160.156194,52463,54431,23998,18404,25609,24383,26657,39704,33002,40535,65404,75337,76390,90297,92227,74936,76493,68107
Somalia,"2.02, 45.25",5.152149,46.199616,35138,35628,20953,11001,8944,35712,3351,24553,25202,36905,16675,16430,12516,11436,7571,15732,,
South Africa,"-25.44, 28.12",-30.559482,22.937506,22061,4323,555,11705,8645,5629,9866,8060,6072,7796,6327,12098,7755,13399,13459,15649,26506,
South Sudan,"6.87, 31.3",6.877,31.307,1488005,0,0,71377,262520,225371,112024,900283,,52011,,,,,,,,
Sri Lanka,"7.87, 80.77",7.8731,80.7718,0,0,0,0,0,23,124,684,531,649,198,591,1640,3720,10510,41411,66522,210039
Sudan,"15.31, 32.35",12.862807,30.217636,720879,575015,586827,1068506,592383,526931,506806,720557,711462,569296,686908,721233,628417,537899,933267,280550,203491,368557
Suriname,"5.5, -55.1",3.919305,-56.027783,40,76,81,401,729,356,771,1712,2380,2709,1741,3289,9131,8378,10982,12837,16003,11361
Syrian Arab Republic,"33.3, 36.18",34.8021,38.9968,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,63,6
Tajikistan,"38.33, 68.48",38.861034,71.276093,0,0,0,2,3,18,65,111,164,318,635,1344,2309,3588,5428,6160,11387,19064
Thailand,"13.45, 100.35",15.870032,100.992541,11440,11522,8022,37921,33302,32569,24897,32480,29462,28569,33178,30294,29782,26690,37355,44555,63528,78561
Timor-Leste,"-8.87, 125.7275",-8.874217,125.727539,16,94,80,342,1025,5211,19739,48137,47527,51260,52813,37896,43093,39164,33411,26651,,15212
Togo,"6.09, 1.2",8.619543,0.824782,1209034,1183265,1113927,1130251,882430,697374,519450,617101,391338,344862,221110,,,,,,,
Turkey,"39.57, 32.54",38.963745,35.243322,0,0,0,0,0,0,0,0,38,166,313,796,2084,5302,9222,10224,10812,11432
Turkmenistan,"38, 57.5",38.969719,59.556278,0,0,0,0,,,,0,0,0,0,1,1,3,7,18,8,24
Uganda,"0.2, 32.3",1.373333,32.290275,11667831,9385132,7137662,3631939,1502362,2662258,231873,1581160,1301337,979298,1045378,867398,1104310,879032,801784,557159,,
United Arab Emirates,"23.42, 53.84",23.424076,53.84782,0,0,0,0,0,,,,,,,,,,,,,
United Republic of Tanzania,"-6.36, 34.88",-6.369028,34.888822,5354486,5193520,4241364,680442,1551923,1986955,2150761,1278998,211,4508,1845917,1928296,2764049,2502382,1976614,42468,38537,17734
Uzbekistan,"41.2, 69.1",41.377491,64.585262,0,0,0,0,0,0,0,3,0,7,30,73,102,66,74,74,77,126
Vanuatu,"-17.45, 168.18",-15.376706,166.959158,1071,1868,423,982,2381,3435,4820,8169,4189,3765,5471,8055,9834,14653,15240,14339,7647,6768
Venezuela (Bolivarian Republic of),"10.3, 66.5897",5.1632955,-69.4146705,411586,240613,136402,90708,78643,52803,45824,45155,35828,32037,41749,37062,45049,46655,31719,29491,20006,29736
Viet Nam,"21.05, 105.55",14.058324,108.277199,4548,4161,9331,15752,17128,19638,16612,17515,16130,11355,16389,22637,19496,24909,38790,47807,68699,74316
Yemen,"15.55, 48.51",15.552727,48.516388,114004,98701,76259,86707,102778,109908,90410,106697,55446,44206,67677,55000,44150,48756,50811,75508,,1394495
Zambia,"-15.28, 28.16",-13.133897,27.849332,5505639,4851319,4184661,4077547,,,,,,,,,,,,,,
Zimbabwe,"-17.43, 31.02",-19.015438,29.154857,315624,279988,391651,535931,422633,276963,319935,249379,114028,32788,116518,19702,18954,16990,,,,
